# Every address the cartridge was seen to execute, with the banks in force.
# Written by msx2go -sweep: observation, not inference.
4069 0,1,2,3
406C 0,1,2,3
406D 0,1,2,3
4070 0,1,2,3
4071 0,1,2,3
4074 0,1,2,3
4077 0,1,2,3
4078 0,1,2,3
407B 0,1,2,3
407E 0,1,2,3
407F 0,1,2,3
4080 0,1,2,3
4082 0,1,2,3
4085 0,1,2,3
4087 0,1,2,3
408A 0,4,2,3
408B 0,4,2,3
408E 0,4,5,3
408F 0,4,5,3
4092 0,4,5,6
4095 0,4,5,6
4096 0,4,5,6
4099 0,4,5,6
409A 0,4,5,6
409D 0,4,5,6
40A0 0,1,5,6
40A3 0,1,5,6
40A6 0,1,2,6
40A9 0,1,2,6
40AC 0,1,2,3
40AF 0,1,2,3
40B0 0,1,2,3
40B1 0,1,2,3
40B3 0,1,2,3
40B4 0,1,2,3
40B5 0,1,2,3
40B8 0,1,2,3
40BB 0,1,2,3
40BE 0,1,2,3
40BF 0,1,2,3
40C2 0,1,2,3
40C3 0,1,2,3
40C4 0,1,10,11
40C4 0,1,10,15
40C4 0,1,14,15
40C4 0,1,2,11
40C4 0,1,2,12
40C4 0,1,2,3
40C4 0,1,2,9
40C4 0,13,14,15
40C5 0,1,10,11
40C5 0,1,10,15
40C5 0,1,14,15
40C5 0,1,2,11
40C5 0,1,2,12
40C5 0,1,2,3
40C5 0,1,2,9
40C5 0,13,14,15
40C6 0,1,10,11
40C6 0,1,10,15
40C6 0,1,14,15
40C6 0,1,2,11
40C6 0,1,2,12
40C6 0,1,2,3
40C6 0,1,2,9
40C6 0,13,14,15
40C7 0,1,10,15
40C7 0,1,14,15
40C7 0,1,2,12
40C8 0,1,10,15
40C8 0,1,14,15
40C8 0,1,2,12
40C9 0,1,10,15
40C9 0,1,10,9
40C9 0,1,14,15
40C9 0,1,2,11
40C9 0,1,2,12
40C9 0,1,2,3
40C9 0,7,8,9
40CA 0,1,10,15
40CA 0,1,10,9
40CA 0,1,14,15
40CA 0,1,2,11
40CA 0,1,2,12
40CA 0,1,2,3
40CA 0,7,8,9
40CB 0,1,10,15
40CB 0,1,10,9
40CB 0,1,14,15
40CB 0,1,2,11
40CB 0,1,2,12
40CB 0,1,2,3
40CB 0,7,8,9
40CC 0,1,10,15
40CC 0,1,2,3
40CD 0,1,10,15
40CD 0,1,2,3
40CE 0,1,10,15
40CE 0,1,2,11
40CE 0,1,2,12
40CE 0,1,2,3
40CF 0,1,10,15
40CF 0,1,2,11
40CF 0,1,2,12
40CF 0,1,2,3
40D0 0,1,10,15
40D0 0,1,2,11
40D0 0,1,2,12
40D0 0,1,2,3
40D1 0,1,10,15
40D1 0,1,2,11
40D1 0,1,2,12
40D1 0,1,2,3
40D2 0,1,10,15
40D2 0,1,2,11
40D2 0,1,2,12
40D2 0,1,2,3
40D4 0,1,10,15
40D4 0,1,2,11
40D4 0,1,2,3
40D5 0,1,10,15
40D5 0,1,2,11
40D5 0,1,2,12
40D5 0,1,2,3
40D6 0,1,10,15
40D6 0,1,2,11
40D6 0,1,2,12
40D6 0,1,2,3
40D7 0,1,10,15
40D7 0,1,2,11
40D7 0,1,2,12
40D7 0,1,2,3
40D8 0,1,10,15
40D8 0,1,2,11
40D8 0,1,2,12
40D8 0,1,2,3
40D9 0,1,10,15
40D9 0,1,2,11
40D9 0,1,2,12
40D9 0,1,2,3
